perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
shift_5px,0.7202582044601233,0.7721787946715969,0,0,0,0.9206053018569946,0.9433803558349609,CongBT4.jpg,efficientnet_b2,0,Conglomerate,0.9206053018569946
bright_plus10,0.958918236189143,0.9791203131718513,8,8,0,0.6923314332962036,0.6920511722564697,CongBT5.jpg,efficientnet_b2,8,Massive sandstone,0.6923314332962036
bright_minus10,0.9912106667581546,0.9938348408500435,8,8,0,0.6923314332962036,0.7012772560119629,CongBT5.jpg,efficientnet_b2,8,Massive sandstone,0.6923314332962036
noise_sigma6,0.9856582187939529,0.9890572087415942,8,8,0,0.6923314332962036,0.6976367831230164,CongBT5.jpg,efficientnet_b2,8,Massive sandstone,0.6923314332962036
blur_sigma2,0.7963216013095814,0.8997735067707994,8,8,0,0.6923314332962036,0.4211755394935608,CongBT5.jpg,efficientnet_b2,8,Massive sandstone,0.6923314332962036
shift_5px,0.6419068467000574,0.6433185900136518,8,0,1,0.6923314332962036,0.059943679720163345,CongBT5.jpg,efficientnet_b2,8,Massive sandstone,0.6923314332962036
bright_plus10,0.826003953396593,0.9229910910682244,8,8,0,0.5849237442016602,0.6558778285980225,ConglBT2.jpg,efficientnet_b2,8,Massive sandstone,0.5849237442016602
bright_minus10,0.9404339939879479,0.9854590138891194,8,8,0,0.5849237442016602,0.4960877001285553,ConglBT2.jpg,efficientnet_b2,8,Massive sandstone,0.5849237442016602
noise_sigma6,0.9703433748766405,0.9914978326124051,8,8,0,0.5849237442016602,0.6367855668067932,ConglBT2.jpg,efficientnet_b2,8,Massive sandstone,0.5849237442016602
blur_sigma2,0.7679635968162273,0.8906677863943645,8,8,0,0.5849237442016602,0.5133066773414612,ConglBT2.jpg,efficientnet_b2,8,Massive sandstone,0.5849237442016602
shift_5px,0.7260070855423605,0.8813839127727278,8,8,0,0.5849237442016602,0.6720152497291565,ConglBT2.jpg,efficientnet_b2,8,Massive sandstone,0.5849237442016602
bright_plus10,0.993689718601449,0.9986393213359257,3,3,0,0.8946524262428284,0.9120276570320129,LABT1.jpg,efficientnet_b2,3,Low-angle bedding,0.8946524262428284
bright_minus10,0.9682034963218112,0.9957975135452602,3,3,0,0.8946524262428284,0.8516991138458252,LABT1.jpg,efficientnet_b2,3,Low-angle bedding,0.8946524262428284
noise_sigma6,0.9131693501728104,0.9613858804297645,3,3,0,0.8946524262428284,0.9325647950172424,LABT1.jpg,efficientnet_b2,3,Low-angle bedding,0.8946524262428284
blur_sigma2,0.6989825248631487,0.7064306584597417,3,3,0,0.8946524262428284,0.9082739353179932,LABT1.jpg,efficientnet_b2,3,Low-angle bedding,0.8946524262428284
shift_5px,0.634463132653058,0.8437245400554051,3,4,1,0.8946524262428284,0.04601922258734703,LABT1.jpg,efficientnet_b2,3,Low-angle bedding,0.8946524262428284
bright_plus10,0.9958804846888549,0.9986343908140671,1,1,0,0.8563324809074402,0.8997984528541565,LABT2.jpg,efficientnet_b2,1,Cross bedding,0.8563324809074402
bright_minus10,0.9974266380026489,0.99913701912156,1,1,0,0.8563324809074402,0.8291757702827454,LABT2.jpg,efficientnet_b2,1,Cross bedding,0.8563324809074402
noise_sigma6,0.9307328399282374,0.9816020144097342,1,1,0,0.8563324809074402,0.9164016842842102,LABT2.jpg,efficientnet_b2,1,Cross bedding,0.8563324809074402
blur_sigma2,0.7586441263158811,0.9629993031826692,1,3,1,0.8563324809074402,0.095348060131073,LABT2.jpg,efficientnet_b2,1,Cross bedding,0.8563324809074402
shift_5px,0.6200466077553779,0.9229115770543751,1,3,1,0.8563324809074402,0.12602150440216064,LABT2.jpg,efficientnet_b2,1,Cross bedding,0.8563324809074402
bright_plus10,0.9931750722005606,0.9979535211994265,2,2,0,0.7493399977684021,0.808807373046875,LBBT1.jpg,efficientnet_b2,2,Lenticular bedding,0.7493399977684021
bright_minus10,0.9935410092243411,0.9971979038673409,2,2,0,0.7493399977684021,0.659204363822937,LBBT1.jpg,efficientnet_b2,2,Lenticular bedding,0.7493399977684021
noise_sigma6,0.9425026167994799,0.9785355339316949,2,2,0,0.7493399977684021,0.8634918332099915,LBBT1.jpg,efficientnet_b2,2,Lenticular bedding,0.7493399977684021
blur_sigma2,0.8292713752377792,0.910901875165867,2,2,0,0.7493399977684021,0.773186206817627,LBBT1.jpg,efficientnet_b2,2,Lenticular bedding,0.7493399977684021
shift_5px,0.6624552131213439,0.7473008083636105,2,2,0,0.7493399977684021,0.9573773145675659,LBBT1.jpg,efficientnet_b2,2,Lenticular bedding,0.7493399977684021
bright_plus10,0.989196350919198,0.9992555047746841,2,2,0,0.6785404086112976,0.6806386113166809,LBBT2.jpg,efficientnet_b2,2,Lenticular bedding,0.6785404086112976
bright_minus10,0.9951310685204994,0.999136046266525,2,2,0,0.6785404086112976,0.6869659423828125,LBBT2.jpg,efficientnet_b2,2,Lenticular bedding,0.6785404086112976
noise_sigma6,0.9852695348127384,0.9951131423015582,2,2,0,0.6785404086112976,0.5429345965385437,LBBT2.jpg,efficientnet_b2,2,Lenticular bedding,0.6785404086112976
blur_sigma2,0.8235898144383574,0.9192491952634508,2,2,0,0.6785404086112976,0.9164395332336426,LBBT2.jpg,efficientnet_b2,2,Lenticular bedding,0.6785404086112976
shift_5px,0.7469133351170434,0.8218919057390417,2,2,0,0.6785404086112976,0.9589554667472839,LBBT2.jpg,efficientnet_b2,2,Lenticular bedding,0.6785404086112976
bright_plus10,0.9992811266505631,0.9999661999275652,9,9,0,0.6530618667602539,0.6529865860939026,MDBT1.jpg,efficientnet_b2,9,mud drape,0.6530618667602539
bright_minus10,0.9966361679449676,0.9997470346332825,9,9,0,0.6530618667602539,0.6556089520454407,MDBT1.jpg,efficientnet_b2,9,mud drape,0.6530618667602539
noise_sigma6,0.9847944727395281,0.9981358516433192,9,9,0,0.6530618667602539,0.6578058004379272,MDBT1.jpg,efficientnet_b2,9,mud drape,0.6530618667602539
blur_sigma2,0.6896504156338366,0.8619472969915852,9,9,0,0.6530618667602539,0.6035981774330139,MDBT1.jpg,efficientnet_b2,9,mud drape,0.6530618667602539
shift_5px,0.6909415582790376,0.902682821382098,9,9,0,0.6530618667602539,0.49835366010665894,MDBT1.jpg,efficientnet_b2,9,mud drape,0.6530618667602539
bright_plus10,0.9965790859710868,0.9992772303405194,8,8,0,0.7007500529289246,0.699691116809845,MSBT1.jpg,efficientnet_b2,8,Massive sandstone,0.7007500529289246
bright_minus10,0.9955735825752833,0.9990341534393475,8,8,0,0.7007500529289246,0.7008894085884094,MSBT1.jpg,efficientnet_b2,8,Massive sandstone,0.7007500529289246
noise_sigma6,0.9617586835031106,0.9834127557723977,8,8,0,0.7007500529289246,0.7023142576217651,MSBT1.jpg,efficientnet_b2,8,Massive sandstone,0.7007500529289246
blur_sigma2,0.8219824736159022,0.9385471139177983,8,8,0,0.7007500529289246,0.7096071243286133,MSBT1.jpg,efficientnet_b2,8,Massive sandstone,0.7007500529289246
shift_5px,0.6961342048831999,0.8946019397239996,8,8,0,0.7007500529289246,0.7136948704719543,MSBT1.jpg,efficientnet_b2,8,Massive sandstone,0.7007500529289246
bright_plus10,0.9945671568338482,0.9985577191594487,10,10,0,0.7651901245117188,0.6994494199752808,PLBT1.jpg,efficientnet_b2,10,Parallel lamination,0.7651901245117188
