perturbation,ssim,pearson,pred_base,pred_pert,pred_changed,prob_class_base,prob_class_pert,filename,model,class_idx,class_name,prob_pred
noise_sigma6,0.9722407138723385,0.9940206179497298,1,1,0,0.7105754017829895,0.5500901937484741,LABT2.jpg,resnet50,1,Cross bedding,0.7105754017829895
blur_sigma2,0.824044364348133,0.9216606692431057,1,3,1,0.7105754017829895,0.021103911101818085,LABT2.jpg,resnet50,1,Cross bedding,0.7105754017829895
shift_5px,0.7555754530118861,0.90676076094408,1,3,1,0.7105754017829895,0.09242063015699387,LABT2.jpg,resnet50,1,Cross bedding,0.7105754017829895
bright_plus10,0.9849637737354238,0.9983190749726414,5,5,0,0.5332120656967163,0.4743654727935791,LBBT1.jpg,resnet50,5,Bioturbated muddy media,0.5332120656967163
bright_minus10,0.976615134548553,0.9970239456212121,5,5,0,0.5332120656967163,0.5095918774604797,LBBT1.jpg,resnet50,5,Bioturbated muddy media,0.5332120656967163
noise_sigma6,0.9703793096934672,0.9899919602615739,5,5,0,0.5332120656967163,0.5237821340560913,LBBT1.jpg,resnet50,5,Bioturbated muddy media,0.5332120656967163
blur_sigma2,0.897531758222217,0.9617288613432857,5,5,0,0.5332120656967163,0.6695390343666077,LBBT1.jpg,resnet50,5,Bioturbated muddy media,0.5332120656967163
shift_5px,0.7871422047649251,0.9458572739375609,5,5,0,0.5332120656967163,0.7757673263549805,LBBT1.jpg,resnet50,5,Bioturbated muddy media,0.5332120656967163
bright_plus10,0.9799250868141185,0.9966149578440521,2,2,0,0.9016152024269104,0.9047017097473145,LBBT2.jpg,resnet50,2,Lenticular bedding,0.9016152024269104
bright_minus10,0.973102592207117,0.9911533174009247,2,2,0,0.9016152024269104,0.8929442167282104,LBBT2.jpg,resnet50,2,Lenticular bedding,0.9016152024269104
noise_sigma6,0.9182075803451802,0.9701366490059148,2,2,0,0.9016152024269104,0.9067389965057373,LBBT2.jpg,resnet50,2,Lenticular bedding,0.9016152024269104
blur_sigma2,0.9005456646157629,0.9774825143500958,2,2,0,0.9016152024269104,0.8962506055831909,LBBT2.jpg,resnet50,2,Lenticular bedding,0.9016152024269104
shift_5px,0.5730134513768896,0.6731283907445406,2,4,1,0.9016152024269104,0.21820078790187836,LBBT2.jpg,resnet50,2,Lenticular bedding,0.9016152024269104
bright_plus10,0.9890571748023382,0.9992982830061032,9,9,0,0.6442185640335083,0.6460627317428589,MDBT1.jpg,resnet50,9,mud drape,0.6442185640335083
bright_minus10,0.9782170140588237,0.998468104178174,9,9,0,0.6442185640335083,0.6451855301856995,MDBT1.jpg,resnet50,9,mud drape,0.6442185640335083
noise_sigma6,0.9607413966362649,0.9878642615547507,9,9,0,0.6442185640335083,0.6513848900794983,MDBT1.jpg,resnet50,9,mud drape,0.6442185640335083
blur_sigma2,0.9097801726701815,0.9594652258839045,9,9,0,0.6442185640335083,0.7282705307006836,MDBT1.jpg,resnet50,9,mud drape,0.6442185640335083
shift_5px,0.8228208915340738,0.910695654071872,9,9,0,0.6442185640335083,0.6563925743103027,MDBT1.jpg,resnet50,9,mud drape,0.6442185640335083
bright_plus10,0.9944005124286593,0.998884876421215,1,1,0,0.7313592433929443,0.7722727656364441,MSBT1.jpg,resnet50,1,Cross bedding,0.7313592433929443
bright_minus10,0.9859716798804463,0.9987370919478297,1,1,0,0.7313592433929443,0.6408042907714844,MSBT1.jpg,resnet50,1,Cross bedding,0.7313592433929443
noise_sigma6,0.6877826284559179,0.9121945520022492,1,8,1,0.7313592433929443,0.06470781564712524,MSBT1.jpg,resnet50,1,Cross bedding,0.7313592433929443
